TotalBudget,ExperienceRating,AmountPaid,BalanceAmount,projAgeYrs,logAnnualBudget,paymentRatio,deptActive,statusProjEnc,dept_Agriculture,dept_Education,dept_Energy,dept_Health,dept_Infrastructure,dept_Water & Sanitation,ptype_Bridge,ptype_Dam,ptype_Flyover,ptype_Grid Station,ptype_Hospital,ptype_Irrigation Canal,ptype_Road Construction,ptype_Rural Health Centre,ptype_School Building,ptype_Solar Plant,ptype_University Building,ptype_Water Treatment Plant,loc_Abbottabad,loc_Bahawalpur,loc_Dera Ghazi Khan,loc_Faisalabad,loc_Gujranwala,loc_Gwadar,loc_Hyderabad,loc_Islamabad,loc_Karachi,loc_Lahore,loc_Mardan,loc_Multan,loc_Peshawar,loc_Quetta,loc_Rawalpindi,loc_Sargodha,loc_Sialkot,loc_Sukkur,loc_Swat,loc_Turbat,CompanyName,CompanyEncoded,SimilarProjectCost
1681.07,2.33,1661.43,19.64,13.29,10.6454,0.9883,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saif Group,10,2111.57
8390.41,2.33,4136.98,4253.43,6.29,10.24,0.4931,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Techno Construction,14,6861.25
2772.84,2.46,995.71,1777.13,11.54,11.2252,0.3591,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Al-Shafi Construction,9,2772.84
475.36,2.46,230.37,244.99,13.96,10.6454,0.4846,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,918.48
2573.06,4.03,831.51,1741.55,9.46,10.24,0.3232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,1464.0149999999999
2695.48,2.84,1105.81,1589.67,4.29,10.4631,0.4102,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Techno Construction,14,1599.855
1611.69,1.64,723.02,888.67,13.63,11.2252,0.4486,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Giga Construction,13,2159.785
1375.0,4.03,156.8,1218.2,11.71,11.3504,0.114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Giga Construction,13,1118.6
2267.61,2.84,601.36,1666.25,10.96,11.3504,0.2652,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Techno Construction,14,1974.12
520.01,1.89,100.38,419.63,12.63,10.4631,0.193,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Giga Construction,13,1422.23
4268.22,2.84,2732.89,1535.33,15.88,10.4631,0.6403,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Nespak,2,4704.25
2352.25,2.4,1552.2,800.05,7.12,11.2252,0.6599,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,2095.425
2127.78,3.46,629.03,1498.75,14.72,10.24,0.2956,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China State Construction,6,2127.78
2558.11,4.9,1236.7,1321.41,9.29,10.24,0.4834,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Descon Engineering,3,2128.58
5131.72,4.9,3651.95,1479.77,15.63,11.0021,0.7116,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M/S Tariq Builders,8,5131.72
7340.71,2.4,4832.36,2508.35,7.96,11.3504,0.6583,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nespak,2,3228.64
2081.53,3.99,1139.3,942.23,14.88,11.3504,0.5473,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Habib Construction,4,1736.355
933.74,2.46,702.06,231.68,10.29,11.0021,0.7519,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nespak,2,1243.475
2179.26,1.64,699.28,1479.98,12.29,10.6454,0.3209,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,China State Construction,6,1964.8500000000001
932.4,2.4,709.97,222.43,15.3,11.0021,0.7614,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Habib Construction,4,2486.62
1035.3,4.9,101.52,933.78,11.63,10.4631,0.0981,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M/S Tariq Builders,8,1844.8
464.61,4.9,359.0,105.61,5.37,10.4631,0.7727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,China State Construction,6,2877.98
9130.79,1.64,850.28,8280.51,12.54,10.4631,0.0931,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,6369.46
261.94,3.46,112.43,149.51,5.96,10.6454,0.4292,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Descon Engineering,3,2791.565
2126.73,2.33,1691.29,435.44,12.21,10.24,0.7953,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M/S Tariq Builders,8,1963.545
1642.8,3.46,170.7,1472.1,3.96,11.2252,0.1039,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,2384.57
1681.36,4.9,870.87,810.49,4.45,10.4631,0.518,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giga Construction,13,1876.675
1819.07,2.46,100.08,1718.99,7.21,11.3504,0.055,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,1736.355
1961.5,3.46,999.41,962.09,16.05,10.4631,0.5095,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Al-Shafi Construction,9,2069.76
331.71,4.47,314.17,17.54,9.79,11.0021,0.9471,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M/S Tariq Builders,8,1972.335
365.45,2.4,204.14,161.31,14.8,10.24,0.5586,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Al-Shafi Construction,9,1853.06
1883.72,2.84,589.51,1294.21,7.79,10.6454,0.3129,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Habib Construction,4,1839.805
2135.15,2.4,537.71,1597.44,15.38,11.3504,0.2518,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,National Logistics Cell,1,1154.22
2155.48,1.89,2114.39,41.09,6.04,11.3504,0.9809,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Descon Engineering,3,2095.14
6194.09,3.46,4938.89,1255.2,13.71,10.4631,0.7974,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,3351.4049999999997
909.7,1.64,423.85,485.85,12.21,10.4631,0.4659,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Techno Construction,14,1254.9450000000002
2799.9,1.89,2410.86,389.04,7.54,11.0021,0.8611,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,3084.14
1170.51,3.99,183.57,986.94,4.62,11.0021,0.1568,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,China State Construction,6,1839.805
9149.2,1.89,8883.95,265.25,2.62,11.3504,0.971,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Zahir Khan & Brothers,11,6861.25
2558.26,2.4,2280.38,277.88,10.46,11.0021,0.8914,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SMS Infrastructure,12,1972.335
2059.51,2.84,267.73,1791.78,7.12,11.3504,0.13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FWO-CCECC JV,7,955.26
106.26,3.57,18.65,87.61,13.29,10.24,0.1755,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Techno Construction,14,1968.61
255.33,1.64,152.62,102.71,6.04,10.4631,0.5977,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nespak,2,940.37
589.28,4.9,271.82,317.46,11.63,11.2252,0.4613,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Giga Construction,13,3351.4049999999997
8530.39,4.03,3437.89,5092.5,5.71,11.0021,0.403,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frontier Works Organization,0,6376.535
8385.36,4.9,6591.49,1793.87,4.87,11.0021,0.7861,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Descon Engineering,3,6376.535
1829.05,2.84,1260.29,568.76,8.88,11.2252,0.689,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,1221.74
2370.06,1.64,757.9,1612.16,14.38,11.2252,0.3198,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FWO-CCECC JV,7,1327.65
1601.94,3.46,512.32,1089.62,13.05,10.6454,0.3198,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Descon Engineering,3,1619.0700000000002
8671.34,3.99,6919.8,1751.54,15.05,10.24,0.798,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,National Logistics Cell,1,4750.6
2252.05,1.64,586.97,1665.08,14.63,10.4631,0.2606,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Giga Construction,13,2278.17
208.39,1.89,16.41,191.98,10.46,10.4631,0.0787,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Izhar Construction,5,1221.74
1621.89,2.33,1218.51,403.38,15.13,10.24,0.7513,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Izhar Construction,5,1593.21
810.8,2.84,697.7,113.1,14.63,11.2252,0.8605,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al-Shafi Construction,9,1786.335
842.13,2.33,514.75,327.38,5.79,10.4631,0.6112,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Descon Engineering,3,1530.82
224.46,2.84,58.32,166.14,13.05,11.0021,0.2598,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Izhar Construction,5,1416.59
2881.21,2.46,1096.89,1784.32,12.05,11.3504,0.3807,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS Infrastructure,12,2122.5
1704.21,2.4,1339.15,365.06,16.05,11.0021,0.7858,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Techno Construction,14,2515.76
1853.02,3.99,1788.69,64.33,8.54,11.3504,0.9653,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,1300.02
2142.96,2.46,381.75,1761.21,9.37,10.24,0.1781,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Al-Shafi Construction,9,1672.3400000000001
4118.59,2.4,1853.95,2264.64,5.45,10.4631,0.4501,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zahir Khan & Brothers,11,2378.73
1301.61,4.03,961.99,339.62,5.54,11.2252,0.7391,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,National Logistics Cell,1,2791.565
1950.07,2.46,249.97,1700.1,5.87,11.0021,0.1282,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al-Shafi Construction,9,3394.9
